;estado;cidade;populacao;pib;pib_percapita
4635;RIO GRANDE DO SUL;Salvador das Missoes;2671;63773.171875;23876.140625
4636;RIO GRANDE DO SUL;Segredo;7301;83060.3828125;11376.58007812
4637;RIO DE JANEIRO;Niteroi;479384;10800670.0;22530.31054688
4638;MARANHAO;Balsas;83617;1120221.375;13397.04980469
4639;BAHIA;Boa Nova;15427;50579.9765625;3278.66992188
4640;PERNAMBUCO;Brejao;9780;50748.40234375;5189.0
4641;MINAS GERAIS;Piedade dos Gerais;4762;27067.94140625;5684.14990234
4642;PARA;Tracuateua;27825;69502.9765625;2497.86010742
4643;RIO GRANDE DO NORTE;Antonio Martins;7245;29558.55664062;4079.86010742
4644;SANTA CATARINA;Saudades;8929;138512.796875;15512.69042969
4645;MARANHAO;Governador Newton Bello;11642;52123.2421875;4477.16992188
4646;RIO GRANDE DO SUL;Taquara;55473;563392.4375;10156.16015625
4647;MINAS GERAIS;Cambui;26365;326565.71875;12386.33007812
4648;MARANHAO;Cantanhede;19564;59457.3125;3039.12011719
4649;MINAS GERAIS;Carmesia;2712;13151.90039062;4849.52001953
4650;RONDONIA;Cacaulandia;5736;102527.7109375;17874.4296875
4651;SAO PAULO;Urania;9007;87492.9765625;9713.88964844
4652;GOIAS;Cachoeira Alta;8235;132794.640625;16125.63964844
4653;MATO GROSSO;Sinop;114051;1813363.25;15899.58007812
4654;TOCANTINS;Campos Lindos;8079;226778.234375;28070.08984375
4655;PARANA;Jundiai do Sul;3777;35101.26953125;9293.4296875
4656;MINAS GERAIS;Rio Acima;8685;85513.75;9846.13964844
4657;SANTA CATARINA;Governador Celso Ramos;12704;117229.25;9227.74023438
4658;MINAS GERAIS;Itauna;85838;1224195.625;14261.70019531
4659;MARANHAO;Igarape do Meio;12291;75123.78125;6112.10009766
4660;GOIAS;Agua Fria de Goias;5318;89004.4453125;16736.44921875
4661;MATO GROSSO;Novo Santo Antonio;2325;18348.640625;7891.89013672
4662;RIO GRANDE DO NORTE;Grossos;9886;92027.8671875;9308.91015625
4663;ALAGOAS;Coqueiro Seco;5525;19754.61328125;3575.5
4664;PIAUI;Jacobina do Piaui;5831;21993.23242188;3771.7800293
4665;RIO GRANDE DO SUL;Tres Arroios;3079;34917.92578125;11340.66992188
4666;MINAS GERAIS;Rio Doce;2656;16774.27734375;6315.62011719
4667;PARA;Jacunda;55900;221262.140625;3958.17993164
4668;RIO GRANDE DO NORTE;Coronel Ezequiel;5399;24485.14453125;4535.12988281
4669;RIO GRANDE DO NORTE;Lagoa Nova;13718;54598.9765625;3980.10009766
4670;CEARA;Baixio;5991;22142.4765625;3695.95996094
4671;SANTA CATARINA;Riqueza;5126;55484.09375;10824.04980469
4672;PARANA;Nova Esperanca;26591;312743.09375;11761.24023438
4673;RIO GRANDE DO SUL;Ibirapuita;4315;55098.28515625;12769.00976562
4674;RONDONIA;Parecis;4802;83712.1875;17432.76953125
4675;BAHIA;Barra da Estiva;20537;127462.8515625;6206.5
4676;CEARA;Catarina;18010;47258.05078125;2623.98999023
4677;ESPIRITO SANTO;Anchieta;20226;2193130.75;108431.2734375
4678;BAHIA;Filadelfia;16215;53721.9609375;3313.10009766
4679;SAO PAULO;Roseira;9527;240654.0625;25260.2109375
4680;RIO GRANDE DO SUL;Arroio do Meio;19059;527789.875;27692.41992188
4681;PERNAMBUCO;Aracoiaba;17484;54776.1953125;3132.92993164
4682;PARA;Igarape-Miri;57003;156092.75;2738.33007812
4683;BAHIA;Serrolandia;12665;45652.41796875;3604.61010742
4684;PARANA;Ribeirao Claro;11246;116140.796875;10327.29980469
4685;MATO GROSSO;Rio Branco;5208;44930.54296875;8627.21972656
4686;PERNAMBUCO;Quipapa;25603;98738.21875;3856.51000977
4687;SAO PAULO;Tabatinga;14876;163077.953125;10962.49023438
4688;MATO GROSSO;Alto Boa Vista;5475;53055.69140625;9690.54003906
4689;ESPIRITO SANTO;Santa Leopoldina;12743;109372.296875;8582.9296875
4690;SANTA CATARINA;Navegantes;57324;911398.5;15899.0703125
4691;SAO PAULO;Porto Ferreira;51090;889695.1875;17414.26953125
4692;PARAIBA;Dona Ines;11142;40716.37109375;3654.31005859
4693;MINAS GERAIS;Pratinha;3435;61587.046875;17929.26953125
4694;PARANA;Sao Jose da Boa Vista;6320;64582.859375;10218.80957031
4695;MINAS GERAIS;Dom Cavati;5811;28930.48242188;4978.56982422
4696;AMAZONAS;Sao Gabriel da Cachoeira;41885;202045.265625;4823.81005859
4697;PARANA;Moreira Sales;13238;145827.890625;11015.86035156
4698;PARAIBA;Sao Jose do Bonfim;3314;12397.72070312;3741.01000977
4699;TOCANTINS;Piraque;3127;30794.62890625;9847.98046875
4700;CEARA;Crateus;75249;331236.40625;4401.87011719
4701;PERNAMBUCO;Paranatama;12441;52088.41796875;4186.83984375
4702;RIO DE JANEIRO;Cordeiro;19902;199012.96875;9999.65039062
4703;CEARA;Campos Sales;26417;98834.7265625;3741.33007812
4704;GOIAS;Iaciara;12855;82438.8828125;6412.97998047
4705;PARAIBA;Santa Ines;3834;14049.64453125;3664.48999023
4706;RIO GRANDE DO SUL;Rondinha;5736;82017.515625;14298.73046875
4707;PARANA;Mariluz;10861;75293.65625;6932.47998047
4708;RIO GRANDE DO SUL;Lavras do Sul;8399;143841.15625;17125.99023438
4709;SAO PAULO;Aguas de Lindoia;16341;172769.0625;10572.73046875
4710;PIAUI;Nossa Senhora de Nazare;4192;14816.15527344;3534.38989258
4711;GOIAS;Jaragua;41772;299434.40625;7168.29980469
4712;BAHIA;Jitauna;16365;57266.8359375;3499.35009766
4713;RIO GRANDE DO SUL;Paim Filho;4526;53447.82421875;11809.05957031
4714;MINAS GERAIS;Aiuruoca;6210;52582.87109375;8467.45019531
4715;MINAS GERAIS;Felisburgo;7024;32274.11328125;4594.83007812
4716;RIO GRANDE DO SUL;Nova Hartz;17772;323488.78125;18202.16015625
4717;MINAS GERAIS;Conceicao da Barra de Minas;4077;27938.48632812;6852.70996094
4718;PARANA;Colorado;21789;382881.75;17572.25
4719;MINAS GERAIS;Santa Rita do Sapucai;36150;597007.375;16514.73046875
4720;BAHIA;Lapao;26616;109688.2421875;4121.14013672
4721;PARAIBA;Boa Vista;5908;65828.1484375;11142.20019531
4722;MINAS GERAIS;Itabirito;43832;817722.0;18655.8203125
4723;RIO GRANDE DO NORTE;Natal;806203;10369581.0;12862.25
4724;PIAUI;Alto Longa;14147;41034.5625;2900.58007812
4725;ESPIRITO SANTO;Domingos Martins;32455;308253.09375;9497.86035156
4726;PERNAMBUCO;Sao Benedito do Sul;10838;38045.48828125;3510.37988281
4727;PARANA;Palmital;15548;107584.8203125;6919.52978516
4728;GOIAS;Jesupolis;2296;13104.99804688;5707.75
4729;MINAS GERAIS;Astolfo Dutra;13109;127486.65625;9725.12011719
4730;PARAIBA;Sao Jose de Espinharas;5045;24638.578125;4883.75976562
4731;BAHIA;Anguera;9826;26372.31835938;2683.92993164
4732;GOIAS;Damianopolis;3678;17035.70117188;4631.77978516
4733;SERGIPE;Ilha das Flores;8906;38105.6328125;4278.64990234
4734;MARANHAO;Santa Rita;32872;99755.2421875;3034.65991211
4735;BAHIA;Caetanos;12307;30036.10546875;2440.57006836
4736;RIO GRANDE DO SUL;Tupandi;3931;114727.6875;29185.36914062
4737;PARAIBA;Agua Branca;9581;34446.609375;3595.30004883
4738;MARANHAO;Alcantara;22020;65418.3046875;2970.86010742
4739;BAHIA;Paratinga;29874;96737.9765625;3238.19995117
4740;PIAUI;SimoEs;14167;58005.26171875;4094.38989258
4741;SANTA CATARINA;Canelinha;10168;101460.0;9978.36035156
4742;MINAS GERAIS;Divino;20099;106150.0234375;5281.35986328
4743;BAHIA;Floresta Azul;10364;42329.94140625;4084.32006836
4744;MATO GROSSO;Jaciara;25922;382745.5625;14765.28027344
4745;CEARA;Pires Ferreira;9857;31351.3984375;3180.62011719
4746;RIO GRANDE DO NORTE;Tibau do Sul;11707;71593.453125;6115.43994141
4747;MARANHAO;Dom Pedro;22086;79900.609375;3617.69995117
4748;SAO PAULO;Saltinho;7149;107210.8046875;14996.62011719
4749;MINAS GERAIS;Mato Verde;12957;58693.7109375;4529.87988281
4750;AMAZONAS;Sao Sebastiao do Uatuma;9268;32970.34765625;3557.43994141
4751;MATO GROSSO;Acorizal;5659;51665.796875;9129.84960938
4752;ALAGOAS;Mar Vermelho;4131;15055.91699219;3644.62011719
4753;MINAS GERAIS;Sao Joao Nepomuceno;26160;177288.109375;6777.06982422
4754;MINAS GERAIS;Conceicao do Rio Verde;13244;113550.8984375;8573.75976562
4755;MINAS GERAIS;Paiva;1687;11832.640625;7014.00976562
4756;SAO PAULO;Nova Castilho;1122;26578.25976562;23688.2890625
4757;MINAS GERAIS;Bom Despacho;44265;499249.78125;11278.66015625
4758;RIO GRANDE DO SUL;Candelaria;30423;409361.71875;13455.66992188
4759;BAHIA;Santa Teresinha;10546;33876.703125;3212.2800293
4760;SAO PAULO;Ribeirao Branco;18607;203091.0;10914.75976562
4761;SANTA CATARINA;Rio Negrinho;44633;531999.8125;11919.4296875
4762;CEARA;Oros;21784;91515.421875;4201.04003906
4763;PERNAMBUCO;Macaparana;24031;96728.0078125;4025.12988281
4764;PARA;Sao Domingos do Araguaia;22063;92794.3046875;4205.87988281
4765;ALAGOAS;Jaramataia;6140;23547.14648438;3835.04003906
4766;PARA;Pacaja;41953;158200.59375;3770.89990234
4767;SAO PAULO;Indaiatuba;183803;5156607.5;28055.08007812
4768;SANTA CATARINA;Dona Emma;3583;46140.10546875;12877.50976562
4769;SANTA CATARINA;Atalanta;3402;50381.9765625;14809.51953125
4770;PARANA;Mambore;14332;263614.625;18393.4296875
4771;RIO GRANDE DO SUL;Sao Martinho da Serra;3579;66114.0390625;18472.76953125
4772;PERNAMBUCO;Custodia;33874;161101.578125;4755.91015625
4773;SAO PAULO;Cabralia Paulista;4369;113450.7734375;25967.22070312
4774;SAO PAULO;Itaoca;3143;21155.91796875;6731.12011719
4775;PARANA;Almirante Tamandare;97523;577882.25;5925.60009766
4776;ESPIRITO SANTO;Nova Venecia;46354;465862.75;10050.11035156
4777;RIO GRANDE DO NORTE;Cerro Cora;11235;50042.41796875;4454.14990234
4778;MINAS GERAIS;Cruzilia;15373;104239.1171875;6780.66015625
4779;GOIAS;Cavalcante;10398;186038.578125;17891.76953125
4780;BAHIA;Sao Jose da Vitoria;6270;20077.56640625;3202.15991211
4781;GOIAS;Campos Belos;19166;104675.78125;5461.54003906
4782;GOIAS;Nova Gloria;8632;60245.73828125;6979.35009766
4783;TOCANTINS;Natividade;9396;63293.33984375;6736.20019531
4784;MINAS GERAIS;Arinos;18153;113755.6796875;6266.49023438
4785;MARANHAO;Parnarama;36300;120248.4140625;3312.62988281
4786;ALAGOAS;Feira Grande;21824;67006.5546875;3070.32006836
4787;PIAUI;Elesbao Veloso;14490;54116.52734375;3734.75
4788;MINAS GERAIS;Tumiritinga;6198;34187.10546875;5515.83007812
4789;MINAS GERAIS;Francisco Dumont;4987;28876.14648438;5790.27978516
4790;MINAS GERAIS;Vieiras;3899;29292.23242188;7512.75976562
4791;PARANA;Figueira;8485;60627.41015625;7145.25
4792;MINAS GERAIS;Antonio Prado de Minas;2070;14403.46777344;6958.20019531
4793;MARANHAO;Sao Vicente Ferrer;20463;39492.9609375;1929.9699707
4794;SANTA CATARINA;Jupia;2185;28970.68554688;13258.88964844
4795;PARA;Cameta;117099;328735.40625;2807.33007812
4796;MINAS GERAIS;Engenheiro Caldas;10908;56074.13671875;5140.64013672
4797;PERNAMBUCO;Itambe;36126;175518.515625;4858.50976562
4798;SAO PAULO;Guaicara;11206;130954.9921875;11686.15039062
4799;PARAIBA;Santa Cruz;6677;25700.4375;3849.10009766
4800;MATO GROSSO DO SUL;Rochedo;4480;80849.7578125;18046.8203125
4801;PARAIBA;Remigio;17423;69606.3515625;3995.08007812
4802;GOIAS;Ceres;19069;193604.6875;10152.84960938
4803;PARA;Maracana;29417;94502.7109375;3212.52001953
4804;CEARA;Maranguape;110523;643602.6875;5823.25
4805;MINAS GERAIS;Belo Vale;7470;47929.59765625;6416.27978516
4806;CEARA;Barroquinha;15558;53454.80859375;3435.84008789
4807;MINAS GERAIS;Itabirinha;10819;50568.87109375;4674.08007812
4808;PIAUI;Sao Joao da Canabrava;4511;15651.91992188;3469.7199707
4809;SAO PAULO;Borebi;2349;34413.14453125;14650.12988281
4810;RIO GRANDE DO SUL;Sinimbu;10706;121152.40625;11316.30957031
4811;MINAS GERAIS;Simonesia;17933;96474.9296875;5379.74023438
4812;BAHIA;Remanso;39705;155141.328125;3907.35009766
4813;MINAS GERAIS;Pocos de Caldas;151449;2818455.75;18609.9296875
4814;MINAS GERAIS;Carvalhos;4735;26771.07617188;5653.87011719
4815;MINAS GERAIS;Sabinopolis;16326;87639.6796875;5368.10986328
4816;MINAS GERAIS;Minas Novas;31647;120427.390625;3805.33007812
4817;RONDONIA;Pimenteiras do Oeste;2415;68966.140625;28557.41015625
4818;PARANA;Boa Ventura de Sao Roque;6964;88497.1484375;12707.79980469
4819;MINAS GERAIS;Bela Vista de Minas;10333;57826.421875;5596.29003906
4820;MINAS GERAIS;Aracitaba;1885;15587.87890625;8269.4296875
4821;TOCANTINS;Babaculandia;10698;93242.9921875;8715.9296875
4822;TOCANTINS;Pugmil;2252;32357.92773438;14368.53027344
4823;PARANA;Jataizinho;11604;81946.609375;7061.93017578
4824;PARAIBA;Santarem;2749;11645.21484375;4236.16015625
4825;RIO DE JANEIRO;Santo Antonio de Padua;42405;515187.90625;12149.23046875
4826;SAO PAULO;Boituva;44906;1223898.125;27254.66992188
4827;MINAS GERAIS;Salinas;38789;237517.859375;6123.33007812
4828;SAO PAULO;Campo Limpo Paulista;74863;838058.875;11194.5703125
4829;RIO DE JANEIRO;Marica;123492;1079824.375;8744.08007812
4830;TOCANTINS;Wanderlandia;9493;66966.7734375;7054.33007812
4831;RIO GRANDE DO SUL;Acegua;4347;115000.703125;26455.18945312
4832;MARANHAO;Agua Doce do Maranhao;12460;37689.296875;3024.82006836
4833;MINAS GERAIS;Angelandia;8571;47678.96484375;5562.81982422
4834;RIO GRANDE DO SUL;Cristal;7393;93160.71875;12601.20996094
4835;GOIAS;Santa Rosa de Goias;2765;20780.69140625;7515.62011719
4836;MATO GROSSO DO SUL;Iguatemi;15222;215600.4375;14163.74023438
4837;MINAS GERAIS;Catas Altas;4795;70746.1015625;14754.13964844
4838;BAHIA;Maragogipe;43921;178405.578125;4061.9699707
4839;MINAS GERAIS;Brasilandia de Minas;13593;134720.109375;9910.99023438
4840;RIO GRANDE DO NORTE;Caraubas;20471;156053.3125;7623.14013672
4841;RIO GRANDE DO SUL;Caxias do Sul;410166;12509582.0;30498.83007812
4842;SAO PAULO;Onda Verde;4005;129986.5;32456.05078125
4843;MINAS GERAIS;Santana de Cataguases;3785;19561.33984375;5168.12011719
4844;AMAPA;Serra do Navio;3982;109795.3046875;27572.90039062
4845;RIO GRANDE DO SUL;Seberi;11098;137429.21875;12383.24023438
4846;RIO GRANDE DO SUL;Dois Irmaos das Missoes;2444;47824.69140625;19568.19921875
4847;BAHIA;Novo Triunfo;14763;36864.1328125;2497.06005859
4848;PIAUI;Baixa Grande do Ribeiro;10804;187569.125;17361.08007812
4849;SANTA CATARINA;Balneario Gaivota;7959;63575.9375;7987.93017578
4850;RIO GRANDE DO SUL;Gramado dos Loureiros;2399;21962.37695312;9154.79980469
4851;BAHIA;Jiquirica;13772;50515.6328125;3668.0
4852;RIO GRANDE DO SUL;Paraiso do Sul;7643;99716.1171875;13046.71972656
4853;SANTA CATARINA;Pinhalzinho;15692;397378.125;25323.609375
4854;TOCANTINS;Araguacu;9225;106934.7265625;11591.83984375
4855;BAHIA;Ituacu;18772;82193.359375;4378.50976562
4856;TOCANTINS;Talisma;2663;36111.77734375;13560.55957031
4857;SAO PAULO;Martinopolis;25533;292783.40625;11466.86035156
4858;SAO PAULO;Aguai;32101;476532.65625;14844.79003906
4859;MARANHAO;Pio Xii;22220;70833.7578125;3187.84008789
4860;MINAS GERAIS;Lassance;6651;127364.8671875;19149.73046875
4861;MINAS GERAIS;Ouro Verde de Minas;7215;29680.8046875;4113.75976562
4862;MINAS GERAIS;Bom Repouso;10826;84637.828125;7818.02001953
4863;SAO PAULO;Taquaritinga;55662;644853.5625;11585.16992188
4864;MINAS GERAIS;Serra dos Aimores;8667;85138.171875;9823.25976562
4865;SAO PAULO;Jau;135546;1760822.5;12990.58984375
4866;PARA;Goianesia do Para;29164;127624.2265625;4376.08984375
4867;PARANA;Nova Alianca do Ivai;1434;21147.484375;14747.20019531
4868;SAO PAULO;Dois Corregos;26040;363964.34375;13977.12988281
4869;GOIAS;Aurilandia;3709;34192.81640625;9218.87988281
4870;SAO PAULO;Iaras;5658;51714.51171875;9140.0703125
4871;BAHIA;Paulo Afonso;106703;1743769.875;16342.28027344
4872;MINAS GERAIS;Guaxupe;49719;1037274.25;20862.73046875
4873;TOCANTINS;Brasilandia do Tocantins;2208;26675.76757812;12081.41992188
4874;PERNAMBUCO;Cumaru;13812;65920.3203125;4772.68017578
4875;SAO PAULO;Cafelandia;16778;192295.0;11461.13964844
4876;BAHIA;Barreiras;137832;1693253.625;12284.91015625
4877;PARA;Santa Isabel do Para;55570;277844.90625;4999.91015625
4879;MINAS GERAIS;Candeias;16281;129657.625;7963.74023438
4880;SAO PAULO;Silveiras;5841;46585.80078125;7975.64990234
4881;MINAS GERAIS;Belo Horizonte;2452617;44595204.0;18182.69921875
4882;MINAS GERAIS;Santa Rita de Minas;5980;58281.58984375;9746.08007812
4883;MINAS GERAIS;Mario Campos;12029;75661.0546875;6289.89013672
4884;MINAS GERAIS;Caiana;4733;35661.89453125;7534.72998047
4885;PARANA;Sao Jose dos Pinhais;279297;11511811.0;41217.1015625
4886;BAHIA;Apuarema;7610;32103.33984375;4218.56982422
4887;RIO GRANDE DO SUL;Ponte Preta;1846;23686.04882812;12831.00976562
4888;PARANA;Guapirama;3645;41972.16796875;11515.0
4889;RIO GRANDE DO NORTE;Porto do Mangue;5033;96511.578125;19175.75976562
4890;MATO GROSSO;Campinapolis;14301;113937.0703125;7967.06982422
4891;GOIAS;Anapolis;335960;8109760.0;24139.06054688
4892;BAHIA;Cachoeira;33782;193704.671875;5733.95996094
4893;MINAS GERAIS;Rubelita;8097;32559.80859375;4021.2199707
4894;MINAS GERAIS;Ladainha;17195;59610.83984375;3466.75
4895;PERNAMBUCO;Camocim de Sao Felix;16574;67847.71875;4093.62011719
4896;MATO GROSSO DO SUL;Vicentina;5783;60769.06640625;10508.23046875
4897;RIO GRANDE DO NORTE;Encanto;5365;23171.35546875;4318.99023438
4898;RIO GRANDE DO SUL;Rosario do Sul;41746;535277.0;12822.24023438
4899;RIO GRANDE DO SUL;Dom Feliciano;15300;155935.0;10191.83007812
4900;SAO PAULO;Osvaldo Cruz;31461;411053.875;13065.50976562
4901;RIO GRANDE DO SUL;Arroio do Sal;7291;80252.4140625;11007.04980469
4902;MARANHAO;Tufilandia;5687;28744.01367188;5054.33984375
4903;PIAUI;Angical do Piaui;6793;25210.82421875;3711.29003906
4904;RIO GRANDE DO SUL;Vista Alegre;2932;37703.0859375;12859.16992188
4905;TOCANTINS;Itapora do Tocantins;3135;31261.0703125;9971.62988281
4906;SANTA CATARINA;Antonio Carlos;7466;255497.78125;34221.51171875
4907;MATO GROSSO;Ribeiraozinho;2194;32890.05078125;14990.91015625
4908;GOIAS;Montes Claros de Goias;8070;104265.5703125;12920.15039062
4909;PIAUI;Pajeu do Piaui;3802;12159.56835938;3198.19995117
4910;RIO GRANDE DO NORTE;Riachuelo;7171;29479.8203125;4110.97998047
4911;PIAUI;Eliseu Martins;4923;17763.77539062;3608.32006836
4912;GOIAS;Palmeiras de Goias;22798;426385.15625;18702.74023438
4913;PIAUI;Santa Cruz do Piaui;5969;19409.03515625;3251.63989258
4914;SAO PAULO;Julio Mesquita;4539;32815.91015625;7229.77001953
4915;MINAS GERAIS;Matipo;17017;157143.3125;9234.49023438
